t,x,y,z,vx,vy,vz,ax,ay,az
0.000000,0.500000,-0.060000,0.384600,0.000000,0.000000,0.000000,0.000000,0.848154,-1.400330
0.020000,0.500000,-0.059846,0.384341,0.000000,0.014551,-0.024837,0.000000,0.606945,-1.083369
0.040000,0.500000,-0.059450,0.383649,0.000000,0.024278,-0.043335,0.000000,0.365736,-0.766408
0.060000,0.500000,-0.058907,0.382650,0.000000,0.029180,-0.055493,0.000000,0.124527,-0.449448
0.080000,0.500000,-0.058315,0.381471,0.000000,0.029259,-0.061313,0.000000,-0.116681,-0.132487
0.100000,0.500000,-0.057769,0.380240,0.000000,0.024513,-0.060793,0.000000,-0.357890,0.184474
0.120000,0.500000,-0.057361,0.379075,0.000000,0.016246,-0.055492,0.000000,-0.393488,0.255500
0.140000,0.500000,-0.057109,0.378012,0.000000,0.009210,-0.051094,0.000000,-0.310102,0.184207
0.160000,0.500000,-0.056982,0.377022,0.000000,0.003842,-0.048123,0.000000,-0.226715,0.112914
0.180000,0.500000,-0.056945,0.376077,0.000000,0.000141,-0.046578,0.000000,-0.143328,0.041620
0.200000,0.500000,-0.056965,0.375149,0.000000,-0.001891,-0.046458,0.000000,-0.059941,-0.029673
0.220000,0.500000,-0.057009,0.374210,0.000000,-0.002282,-0.047728,0.000000,0.010772,-0.082428
0.240000,0.500000,-0.057051,0.373240,0.000000,-0.001865,-0.049163,0.000000,0.030858,-0.061126
0.260000,0.500000,-0.057081,0.372246,0.000000,-0.001047,-0.050173,0.000000,0.050944,-0.039824
0.280000,0.500000,-0.057091,0.371236,0.000000,0.000172,-0.050756,0.000000,0.071029,-0.018521
0.300000,0.500000,-0.057072,0.370218,0.000000,0.001794,-0.050914,0.000000,0.091115,0.002781
0.320000,0.500000,-0.057016,0.369202,0.000000,0.003817,-0.050645,0.000000,0.111201,0.024083
0.340000,0.500000,-0.056921,0.368194,0.000000,0.005422,-0.050152,0.000000,0.028848,0.020189
0.360000,0.500000,-0.056814,0.367195,0.000000,0.004920,-0.049850,0.000000,-0.079082,0.010003
0.380000,0.500000,-0.056738,0.366199,0.000000,0.002259,-0.049752,0.000000,-0.187011,-0.000183
0.400000,0.500000,-0.056738,0.365203,0.000000,-0.002561,-0.049857,0.000000,-0.294941,-0.010369
0.420000,0.500000,-0.056855,0.364203,0.000000,-0.009539,-0.050167,0.000000,-0.402870,-0.020554
0.440000,0.500000,-0.057132,0.363196,0.000000,-0.018124,-0.050596,0.000000,-0.372871,-0.009865
0.460000,0.500000,-0.057553,0.362184,0.000000,-0.023214,-0.050374,0.000000,-0.136157,0.032111
0.480000,0.500000,-0.058029,0.361186,0.000000,-0.023570,-0.049312,0.000000,0.100557,0.074086
0.500000,0.500000,-0.058465,0.360218,0.000000,-0.019192,-0.047410,0.000000,0.337272,0.116061
0.520000,0.500000,-0.058765,0.359295,0.000000,-0.010079,-0.044669,0.000000,0.573986,0.158037
0.540000,0.500000,-0.058836,0.358436,0.000000,0.003768,-0.041089,0.000000,0.810700,0.200012
0.560000,0.500000,-0.058592,0.357656,0.000000,0.020404,-0.036887,0.000000,0.772739,0.211208
0.580000,0.500000,-0.058040,0.356961,0.000000,0.034347,-0.032677,0.000000,0.621553,0.209715
0.600000,0.500000,-0.057238,0.356349,0.000000,0.045266,-0.028498,0.000000,0.470367,0.208223
0.620000,0.500000,-0.056249,0.355821,0.000000,0.053162,-0.024348,0.000000,0.319180,0.206731
0.640000,0.500000,-0.055132,0.355375,0.000000,0.058033,-0.020229,0.000000,0.167994,0.205238
0.660000,0.500000,-0.053948,0.355012,0.000000,0.059884,-0.015909,0.000000,0.017250,0.245761
0.680000,0.500000,-0.052757,0.354748,0.000000,0.058725,-0.010240,0.000000,-0.133128,0.321119
0.700000,0.500000,-0.051619,0.354613,0.000000,0.054559,-0.003064,0.000000,-0.283505,0.396477
0.720000,0.500000,-0.050594,0.354636,0.000000,0.047385,0.005619,0.000000,-0.433882,0.471835
0.740000,0.500000,-0.049744,0.354847,0.000000,0.037203,0.015809,0.000000,-0.584259,0.547193
0.760000,0.500000,-0.049126,0.355278,0.000000,0.024074,0.027471,0.000000,-0.693947,0.598338
0.780000,0.500000,-0.048775,0.355941,0.000000,0.011465,0.038541,0.000000,-0.566978,0.508661
0.800000,0.500000,-0.048651,0.356808,0.000000,0.001395,0.047817,0.000000,-0.440009,0.418983
0.820000,0.500000,-0.048702,0.357842,0.000000,-0.006135,0.055300,0.000000,-0.313040,0.329306
0.840000,0.500000,-0.048879,0.359008,0.000000,-0.011127,0.060990,0.000000,-0.186070,0.239628
0.860000,0.500000,-0.049131,0.360269,0.000000,-0.013578,0.064885,0.000000,-0.059101,0.149951
0.880000,0.500000,-0.049405,0.361587,0.000000,-0.013324,0.066199,0.000000,0.090221,-0.045292
0.900000,0.500000,-0.049643,0.362887,0.000000,-0.009950,0.062983,0.000000,0.247125,-0.276343
0.920000,0.500000,-0.049782,0.364076,0.000000,-0.003439,0.055146,0.000000,0.404029,-0.507394
0.940000,0.500000,-0.049759,0.365062,0.000000,0.006211,0.042687,0.000000,0.560932,-0.738446
0.960000,0.500000,-0.049512,0.365752,0.000000,0.018999,0.025608,0.000000,0.717836,-0.969497
0.980000,0.500000,-0.048980,0.366057,0.000000,0.034434,0.004647,0.000000,0.733265,-0.987267
1.000000,0.500000,-0.048161,0.365978,0.000000,0.046588,-0.011258,0.000000,0.482119,-0.603161
1.020000,0.500000,-0.047150,0.365658,0.000000,0.053719,-0.019480,0.000000,0.230972,-0.219056
1.040000,0.500000,-0.046046,0.365250,0.000000,0.055827,-0.020020,0.000000,-0.020174,0.165050
1.060000,0.500000,-0.044950,0.364908,0.000000,0.052912,-0.012878,0.000000,-0.271320,0.549155
1.080000,0.500000,-0.043963,0.364786,0.000000,0.044974,0.001946,0.000000,-0.522466,0.933261
1.100000,0.500000,-0.043172,0.365018,0.000000,0.034369,0.020884,0.000000,-0.484562,0.879466
1.120000,0.500000,-0.042574,0.365601,0.000000,0.025713,0.036941,0.000000,-0.381038,0.726260
1.140000,0.500000,-0.042129,0.366475,0.000000,0.019127,0.049934,0.000000,-0.277514,0.573055
1.160000,0.500000,-0.041795,0.367578,0.000000,0.014612,0.059863,0.000000,-0.173989,0.419849
1.180000,0.500000,-0.041531,0.368849,0.000000,0.012168,0.066728,0.000000,-0.070465,0.266644
1.200000,0.500000,-0.041297,0.370226,0.000000,0.011248,0.070236,0.000000,-0.088559,0.048134
1.220000,0.500000,-0.041100,0.371621,0.000000,0.007800,0.068211,0.000000,-0.256249,-0.250702
1.240000,0.500000,-0.041007,0.372915,0.000000,0.000998,0.060208,0.000000,-0.423939,-0.549539
1.260000,0.500000,-0.041083,0.373989,0.000000,-0.009158,0.046229,0.000000,-0.591629,-0.848376
1.280000,0.500000,-0.041396,0.374724,0.000000,-0.022667,0.026273,0.000000,-0.759320,-1.147212
1.300000,0.500000,-0.042012,0.375000,0.000000,-0.039529,0.000343,0.000000,-0.917478,-1.432931
1.320000,0.500000,-0.042955,0.374758,0.000000,-0.053281,-0.022668,0.000000,-0.457691,-0.868142
1.340000,0.500000,-0.044082,0.374169,0.000000,-0.057836,-0.034383,0.000000,0.002096,-0.303354
1.360000,0.500000,-0.045208,0.373458,0.000000,-0.053197,-0.034802,0.000000,0.461883,0.261435
1.380000,0.500000,-0.046148,0.372852,0.000000,-0.039361,-0.023926,0.000000,0.921670,0.826223
1.400000,0.500000,-0.046721,0.372576,0.000000,-0.016330,-0.001753,0.000000,1.381457,1.391011
1.420000,0.500000,-0.046757,0.372835,0.000000,0.012154,0.026695,0.000000,1.264134,1.181924
1.440000,0.500000,-0.046289,0.373564,0.000000,0.033137,0.044050,0.000000,0.834181,0.553613
1.460000,0.500000,-0.045488,0.374514,0.000000,0.045521,0.048840,0.000000,0.404228,-0.074698
1.480000,0.500000,-0.044526,0.375434,0.000000,0.049306,0.041063,0.000000,-0.025725,-0.703009
1.500000,0.500000,-0.043573,0.376072,0.000000,0.044492,0.020719,0.000000,-0.455679,-1.331320
1.520000,0.500000,-0.042797,0.376190,0.000000,0.032807,-0.009245,0.000000,-0.575611,-1.431312
1.540000,0.500000,-0.042248,0.375740,0.000000,0.022557,-0.034677,0.000000,-0.449431,-1.111893
1.560000,0.500000,-0.041878,0.374845,0.000000,0.014830,-0.053721,0.000000,-0.323251,-0.792474
1.580000,0.500000,-0.041638,0.373633,0.000000,0.009627,-0.066376,0.000000,-0.197071,-0.473055
1.600000,0.500000,-0.041476,0.372233,0.000000,0.006947,-0.072643,0.000000,-0.070891,-0.153635
1.620000,0.500000,-0.041344,0.370770,0.000000,0.006328,-0.072697,0.000000,-0.052192,0.125069
1.640000,0.500000,-0.041236,0.369356,0.000000,0.004052,-0.067946,0.000000,-0.175355,0.350033
1.660000,0.500000,-0.041198,0.368082,0.000000,-0.000686,-0.058696,0.000000,-0.298518,0.574998
1.680000,0.500000,-0.041280,0.367038,0.000000,-0.007888,-0.044946,0.000000,-0.421682,0.799963
1.700000,0.500000,-0.041530,0.366314,0.000000,-0.017554,-0.026697,0.000000,-0.544845,1.024927
1.720000,0.500000,-0.041999,0.366000,0.000000,-0.029682,-0.003949,0.000000,-0.668009,1.249892
1.740000,0.500000,-0.042713,0.366139,0.000000,-0.041098,0.016211,0.000000,-0.472888,0.764582
1.760000,0.500000,-0.043617,0.366584,0.000000,-0.048598,0.026634,0.000000,-0.277073,0.277723
1.780000,0.500000,-0.044631,0.367139,0.000000,-0.052181,0.027320,0.000000,-0.081258,-0.209135
1.800000,0.500000,-0.045678,0.367612,0.000000,-0.051848,0.018269,0.000000,0.114557,-0.695994
1.820000,0.500000,-0.046679,0.367805,0.000000,-0.047599,-0.000520,0.000000,0.310372,-1.182852
1.840000,0.500000,-0.047561,0.367559,0.000000,-0.040414,-0.023311,0.000000,0.393645,-1.011634
1.860000,0.500000,-0.048286,0.366909,0.000000,-0.031874,-0.040860,0.000000,0.460312,-0.743317
1.880000,0.500000,-0.048827,0.365961,0.000000,-0.022001,-0.053043,0.000000,0.526979,-0.475000
1.900000,0.500000,-0.049157,0.364823,0.000000,-0.010795,-0.059860,0.000000,0.593646,-0.206683
1.920000,0.500000,-0.049250,0.363602,0.000000,0.001744,-0.061311,0.000000,0.660313,0.061634
1.940000,0.500000,-0.049082,0.362404,0.000000,0.014690,-0.058042,0.000000,0.543267,0.201677
1.960000,0.500000,-0.048699,0.361284,0.000000,0.022583,-0.053866,0.000000,0.246043,0.215916
1.980000,0.500000,-0.048218,0.360251,0.000000,0.024532,-0.049406,0.000000,-0.051180,0.230155
2.000000,0.500000,-0.047758,0.359310,0.000000,0.020536,-0.044660,0.000000,-0.348404,0.244394
2.020000,0.500000,-0.047436,0.358467,0.000000,0.010596,-0.039630,0.000000,-0.645627,0.258633
2.040000,0.500000,-0.047373,0.357727,0.000000,-0.005289,-0.034315,0.000000,-0.942851,0.272871
2.060000,0.500000,-0.047670,0.357094,0.000000,-0.023931,-0.029075,0.000000,-0.847904,0.242862
2.080000,0.500000,-0.048306,0.356558,0.000000,-0.039036,-0.024620,0.000000,-0.662610,0.202659
2.100000,0.500000,-0.049207,0.356104,0.000000,-0.050436,-0.020968,0.000000,-0.477317,0.162456
2.120000,0.500000,-0.050299,0.355714,0.000000,-0.058129,-0.018121,0.000000,-0.292023,0.122253
2.140000,0.500000,-0.051508,0.355374,0.000000,-0.062116,-0.016078,0.000000,-0.106730,0.082051
2.160000,0.500000,-0.052759,0.355067,0.000000,-0.062502,-0.014512,0.000000,0.055345,0.115167
2.180000,0.500000,-0.053989,0.354808,0.000000,-0.060062,-0.010968,0.000000,0.188600,0.239285
2.200000,0.500000,-0.055144,0.354644,0.000000,-0.054958,-0.004941,0.000000,0.321855,0.363404
2.220000,0.500000,-0.056170,0.354627,0.000000,-0.047188,0.003569,0.000000,0.455110,0.487522
2.240000,0.500000,-0.057014,0.354804,0.000000,-0.036753,0.014560,0.000000,0.588365,0.611640
2.260000,0.500000,-0.057622,0.355226,0.000000,-0.023659,0.028028,0.000000,0.708660,0.722050
2.280000,0.500000,-0.057963,0.355919,0.000000,-0.010959,0.040743,0.000000,0.561358,0.549433
2.300000,0.500000,-0.058080,0.356832,0.000000,-0.001205,0.050005,0.000000,0.414055,0.376816
2.320000,0.500000,-0.058031,0.357896,0.000000,0.005603,0.055815,0.000000,0.266753,0.204199
2.340000,0.500000,-0.057876,0.359042,0.000000,0.009465,0.058173,0.000000,0.119450,0.031582
2.360000,0.500000,-0.057672,0.360200,0.000000,0.010381,0.057079,0.000000,-0.027852,-0.141035
2.380000,0.500000,-0.057477,0.361306,0.000000,0.008960,0.053457,0.000000,-0.080842,-0.170516
2.400000,0.500000,-0.057315,0.362344,0.000000,0.007330,0.050535,0.000000,-0.082195,-0.121628
2.420000,0.500000,-0.057184,0.363334,0.000000,0.005673,0.048592,0.000000,-0.083547,-0.072741
2.440000,0.500000,-0.057088,0.364294,0.000000,0.003988,0.047626,0.000000,-0.084900,-0.023853
2.460000,0.500000,-0.057025,0.365245,0.000000,0.002277,0.047637,0.000000,-0.086252,0.025035
2.480000,0.500000,-0.056997,0.366206,0.000000,0.000556,0.048597,0.000000,-0.078981,0.059646
2.500000,0.500000,-0.056999,0.367189,0.000000,-0.000632,0.049608,0.000000,-0.039839,0.041499
2.520000,0.500000,-0.057017,0.368188,0.000000,-0.001037,0.050257,0.000000,-0.000698,0.023351
2.540000,0.500000,-0.057035,0.369197,0.000000,-0.000660,0.050542,0.000000,0.038443,0.005204
2.560000,0.500000,-0.057038,0.370208,0.000000,0.000501,0.050465,0.000000,0.077585,-0.012944
2.580000,0.500000,-0.057010,0.371213,0.000000,0.002444,0.050024,0.000000,0.116726,-0.031092
2.600000,0.500000,-0.056940,0.372208,0.000000,0.004259,0.049474,0.000000,0.043817,-0.018088
2.620000,0.500000,-0.056853,0.373195,0.000000,0.004148,0.049314,0.000000,-0.054872,0.002082
2.640000,0.500000,-0.056787,0.374183,0.000000,0.002064,0.049558,0.000000,-0.153560,0.022252
2.660000,0.500000,-0.056783,0.375180,0.000000,-0.001994,0.050204,0.000000,-0.252249,0.042421
2.680000,0.500000,-0.056880,0.376194,0.000000,-0.008026,0.051254,0.000000,-0.350937,0.062591
2.700000,0.500000,-0.057116,0.377232,0.000000,-0.015458,0.052550,0.000000,-0.310659,0.044606
2.720000,0.500000,-0.057471,0.378287,0.000000,-0.019293,0.052720,0.000000,-0.072840,-0.027618
2.740000,0.500000,-0.057856,0.379331,0.000000,-0.018372,0.051446,0.000000,0.164979,-0.099841
2.760000,0.500000,-0.058175,0.380335,0.000000,-0.012694,0.048727,0.000000,0.402799,-0.172065
2.780000,0.500000,-0.058332,0.381271,0.000000,-0.002260,0.044563,0.000000,0.640618,-0.244289
2.800000,0.500000,-0.058233,0.382108,0.000000,0.012931,0.038955,0.000000,0.878438,-0.316512
2.820000,0.500000,-0.057803,0.382823,0.000000,0.029495,0.032594,0.000000,0.732386,-0.310276
2.840000,0.500000,-0.057080,0.383414,0.000000,0.042165,0.026557,0.000000,0.534602,-0.293467
2.860000,0.500000,-0.056143,0.383888,0.000000,0.050879,0.020855,0.000000,0.336817,-0.276657
2.880000,0.500000,-0.055071,0.384251,0.000000,0.055638,0.015490,0.000000,0.139033,-0.259847
2.900000,0.500000,-0.053944,0.384510,0.000000,0.056441,0.010461,0.000000,-0.058752,-0.243037
2.920000,0.500000,-0.052838,0.384672,0.000000,0.053892,0.005848,0.000000,-0.139112,-0.210832
2.940000,0.500000,-0.051786,0.384750,0.000000,0.051413,0.002099,0.000000,-0.108745,-0.164109
2.960000,0.500000,-0.050777,0.384762,0.000000,0.049542,-0.000716,0.000000,-0.078379,-0.117386
2.980000,0.500000,-0.049800,0.384727,0.000000,0.048278,-0.002597,0.000000,-0.048012,-0.070663
3.000000,0.500000,-0.048842,0.384664,0.000000,0.047622,-0.003543,0.000000,-0.017645,-0.023940
3.020000,0.500000,-0.047891,0.384592,0.000000,0.047571,-0.003557,0.000000,0.011544,0.020563
3.040000,0.500000,-0.046936,0.384527,0.000000,0.048003,-0.002872,0.000000,0.031645,0.047925
3.060000,0.500000,-0.045968,0.384481,0.000000,0.048837,-0.001640,0.000000,0.051746,0.075287
3.080000,0.500000,-0.044980,0.384465,0.000000,0.050073,0.000139,0.000000,0.071848,0.102649
3.100000,0.500000,-0.043963,0.384490,0.000000,0.051711,0.002466,0.000000,0.091949,0.130011
3.120000,0.500000,-0.042909,0.384567,0.000000,0.053751,0.005340,0.000000,0.112050,0.157372
3.140000,0.500000,-0.041813,0.384701,0.000000,0.055513,0.007544,0.000000,0.037080,0.014428
3.160000,0.500000,-0.040703,0.384841,0.000000,0.055126,0.005723,0.000000,-0.075847,-0.196510
3.180000,0.500000,-0.039623,0.384902,0.000000,0.052480,-0.000317,0.000000,-0.188773,-0.407448
3.200000,0.500000,-0.038619,0.384800,0.000000,0.047575,-0.010575,0.000000,-0.301699,-0.618386
3.220000,0.500000,-0.037735,0.384451,0.000000,0.040412,-0.025052,0.000000,-0.414626,-0.829323
3.240000,0.500000,-0.037017,0.383771,0.000000,0.031068,-0.043246,0.000000,-0.499808,-0.861739
3.260000,0.500000,-0.036497,0.382762,0.000000,0.020928,-0.056247,0.000000,-0.514157,-0.438369
3.280000,0.500000,-0.036182,0.381577,0.000000,0.010502,-0.060780,0.000000,-0.528506,-0.014999
3.300000,0.500000,-0.036079,0.380387,0.000000,-0.000212,-0.056847,0.000000,-0.542855,0.408370
3.320000,0.500000,-0.036192,0.379360,0.000000,-0.011213,-0.044445,0.000000,-0.557204,0.831740
3.340000,0.500000,-0.036529,0.378666,0.000000,-0.022500,-0.023577,0.000000,-0.571553,1.255110
3.360000,0.500000,-0.037089,0.378444,0.000000,-0.033199,0.000556,0.000000,-0.482664,1.065129
3.380000,0.500000,-0.037843,0.378648,0.000000,-0.041779,0.018862,0.000000,-0.375300,0.765389
3.400000,0.500000,-0.038746,0.379158,0.000000,-0.048211,0.031172,0.000000,-0.267936,0.465650
3.420000,0.500000,-0.039757,0.379855,0.000000,-0.052496,0.037488,0.000000,-0.160572,0.165910
3.440000,0.500000,-0.040832,0.380618,0.000000,-0.054634,0.037808,0.000000,-0.053208,-0.133830
3.460000,0.500000,-0.041928,0.381329,0.000000,-0.054754,0.032491,0.000000,0.027261,-0.359593
3.480000,0.500000,-0.043015,0.381897,0.000000,-0.053694,0.023837,0.000000,0.078788,-0.505742
3.500000,0.500000,-0.044069,0.382263,0.000000,-0.051603,0.012261,0.000000,0.130314,-0.651892
3.520000,0.500000,-0.045072,0.382368,0.000000,-0.048481,-0.002238,0.000000,0.181841,-0.798042
3.540000,0.500000,-0.046002,0.382154,0.000000,-0.044329,-0.019661,0.000000,0.233367,-0.944192
3.560000,0.500000,-0.046838,0.381562,0.000000,-0.039147,-0.039990,0.000000,0.283360,-1.056853
3.580000,0.500000,-0.047563,0.380587,0.000000,-0.033281,-0.055672,0.000000,0.303206,-0.511371
3.600000,0.500000,-0.048167,0.379408,0.000000,-0.027019,-0.060445,0.000000,0.323052,0.034112
3.620000,0.500000,-0.048641,0.378242,0.000000,-0.020359,-0.054308,0.000000,0.342898,0.579594
3.640000,0.500000,-0.048978,0.377308,0.000000,-0.013303,-0.037261,0.000000,0.362744,1.125077
3.660000,0.500000,-0.049171,0.376824,0.000000,-0.005850,-0.009305,0.000000,0.382590,1.670559
3.680000,0.500000,-0.049210,0.376985,0.000000,0.001962,0.024393,0.000000,0.396801,1.458053
3.700000,0.500000,-0.049091,0.377727,0.000000,0.010014,0.047892,0.000000,0.408382,0.891879
3.720000,0.500000,-0.048808,0.378825,0.000000,0.018298,0.060068,0.000000,0.419963,0.325706
3.740000,0.500000,-0.048357,0.380054,0.000000,0.026813,0.060921,0.000000,0.431544,-0.240467
3.760000,0.500000,-0.047734,0.381187,0.000000,0.035559,0.050450,0.000000,0.443126,-0.806641
3.780000,0.500000,-0.046935,0.382004,0.000000,0.044057,0.030710,0.000000,0.368210,-1.002893
3.800000,0.500000,-0.045990,0.382424,0.000000,0.049980,0.011650,0.000000,0.224068,-0.903085
3.820000,0.500000,-0.044955,0.382483,0.000000,0.053020,-0.005414,0.000000,0.079926,-0.803278
3.840000,0.500000,-0.043888,0.382221,0.000000,0.053177,-0.020481,0.000000,-0.064216,-0.703470
3.860000,0.500000,-0.042847,0.381678,0.000000,0.050451,-0.033552,0.000000,-0.208358,-0.603663
3.880000,0.500000,-0.041889,0.380892,0.000000,0.044876,-0.044583,0.000000,-0.325373,-0.467534
3.900000,0.500000,-0.041052,0.379934,0.000000,0.039146,-0.049964,0.000000,-0.247573,-0.070557
3.920000,0.500000,-0.040313,0.378947,0.000000,0.034973,-0.047405,0.000000,-0.169773,0.326421
3.940000,0.500000,-0.039642,0.378090,0.000000,0.032355,-0.036907,0.000000,-0.091973,0.723399
3.960000,0.500000,-0.039009,0.377523,0.000000,0.031294,-0.018470,0.000000,-0.014173,1.120377
3.980000,0.500000,-0.038380,0.377405,0.000000,0.031786,0.007900,0.000000,0.055067,1.491802
4.000000,0.500000,-0.037747,0.377833,0.000000,0.030909,0.033477,0.000000,-0.142781,1.065928
4.020000,0.500000,-0.037170,0.378687,0.000000,0.026075,0.050537,0.000000,-0.340630,0.640055
4.040000,0.500000,-0.036730,0.379797,0.000000,0.017284,0.059079,0.000000,-0.538479,0.214182
4.060000,0.500000,-0.036505,0.380993,0.000000,0.004535,0.059104,0.000000,-0.736328,-0.211691
4.080000,0.500000,-0.036575,0.382105,0.000000,-0.012170,0.050612,0.000000,-0.934176,-0.637565
4.100000,0.500000,-0.036998,0.382987,0.000000,-0.029474,0.037888,0.000000,-0.760867,-0.589610
4.120000,0.500000,-0.037726,0.383633,0.000000,-0.042567,0.027075,0.000000,-0.548438,-0.491714
4.140000,0.500000,-0.038673,0.384083,0.000000,-0.051411,0.018220,0.000000,-0.336009,-0.393819
4.160000,0.500000,-0.039754,0.384375,0.000000,-0.056007,0.011322,0.000000,-0.123580,-0.295923
4.180000,0.500000,-0.040885,0.384549,0.000000,-0.056355,0.006383,0.000000,0.088849,-0.198027
4.200000,0.500000,-0.041982,0.384643,0.000000,-0.053218,0.003222,0.000000,0.159204,-0.133491
4.220000,0.500000,-0.043018,0.384683,0.000000,-0.050550,0.000911,0.000000,0.107600,-0.097591
4.240000,0.500000,-0.044011,0.384684,0.000000,-0.048914,-0.000682,0.000000,0.055996,-0.061690
4.260000,0.500000,-0.044982,0.384660,0.000000,-0.048310,-0.001557,0.000000,0.004392,-0.025790
4.280000,0.500000,-0.045951,0.384627,0.000000,-0.048738,-0.001714,0.000000,-0.047212,0.010110
4.300000,0.500000,-0.046938,0.384597,0.000000,-0.050179,-0.001161,0.000000,-0.084748,0.039712
4.320000,0.500000,-0.047955,0.384581,0.000000,-0.051371,-0.000464,0.000000,-0.034474,0.029997
4.340000,0.500000,-0.048986,0.384577,0.000000,-0.051558,0.000039,0.000000,0.015800,0.020283
4.360000,0.500000,-0.050011,0.384581,0.000000,-0.050739,0.000347,0.000000,0.066075,0.010569
4.380000,0.500000,-0.051009,0.384589,0.000000,-0.048915,0.000462,0.000000,0.116349,0.000855
4.400000,0.500000,-0.051961,0.384598,0.000000,-0.046085,0.000381,0.000000,0.166623,-0.008859
4.420000,0.500000,-0.052851,0.384604,0.000000,-0.043338,0.000176,0.000000,0.069452,-0.009221
4.440000,0.500000,-0.053714,0.384606,0.000000,-0.043444,0.000021,0.000000,-0.080041,-0.006265
4.460000,0.500000,-0.054609,0.384605,0.000000,-0.046540,-0.000074,0.000000,-0.229535,-0.003308
4.480000,0.500000,-0.055596,0.384603,0.000000,-0.052626,-0.000111,0.000000,-0.379028,-0.000352
4.500000,0.500000,-0.056734,0.384601,0.000000,-0.061701,-0.000088,0.000000,-0.528521,0.002605
4.520000,0.500000,-0.058076,0.384600,0.000000,-0.070352,-0.000015,0.000000,0.331924,0.003276
4.540000,0.500000,-0.059227,0.384600,0.000000,-0.035336,0.000013,0.000000,3.169632,-0.000525
4.540000,0.500000,-0.059400,0.384600,0.000000,0.000000,0.000000,-6.430681,-1.129188,1.178283
4.560000,0.498792,-0.059603,0.384812,-0.116822,-0.019196,0.020031,-5.251476,-0.790432,0.824798
4.580000,0.495484,-0.060123,0.385354,-0.210059,-0.031617,0.032992,-4.072272,-0.451675,0.471313
4.600000,0.490547,-0.060823,0.386085,-0.279712,-0.037263,0.038883,-2.893068,-0.112919,0.117828
4.620000,0.484453,-0.061568,0.386862,-0.325782,-0.036134,0.037705,-1.713864,0.225838,-0.235657
4.640000,0.477673,-0.062223,0.387546,-0.348267,-0.028230,0.029457,-0.534660,0.564594,-0.589142
4.660000,0.470680,-0.062652,0.387993,-0.347168,-0.013550,0.014139,0.644544,0.903351,-0.942627
4.680000,0.463944,-0.062720,0.388064,-0.322485,0.007904,-0.008248,1.823749,1.242107,-1.296112
4.700000,0.457937,-0.062291,0.387616,-0.274218,0.036134,-0.037705,3.002953,1.580863,-1.649597
4.720000,0.453132,-0.061229,0.386509,-0.202367,0.071139,-0.074232,4.182157,1.919620,-2.003082
4.740000,0.450000,-0.059400,0.384600,-0.106932,0.112919,-0.117828,5.361361,2.258376,-2.356567
4.760000,0.448799,-0.056728,0.381812,-0.019865,0.152425,-0.159052,3.345299,1.692223,-1.765798
4.780000,0.448937,-0.053378,0.378317,0.026880,0.180608,-0.188460,1.329237,1.126070,-1.175030
4.800000,0.449606,-0.049579,0.374352,0.033304,0.197468,-0.206053,-0.686826,0.559917,-0.584261
4.820000,0.450000,-0.045555,0.370153,-0.000588,0.203004,-0.211831,-2.658473,-0.006236,0.006507
4.840000,0.449591,-0.041534,0.365957,-0.033597,0.197218,-0.205793,-0.642411,-0.572389,0.597276
4.860000,0.448925,-0.037742,0.362000,-0.026285,0.180109,-0.187940,1.373651,-1.138543,1.188044
4.880000,0.448808,-0.034405,0.358519,0.021349,0.151676,-0.158271,3.389713,-1.704696,1.778813
4.900000,0.450048,-0.031750,0.355748,0.109288,0.111925,-0.116792,5.335383,-2.250913,2.348779
4.920000,0.453222,-0.029940,0.353859,0.204204,0.070295,-0.073351,4.156179,-1.912157,1.995294
4.940000,0.458059,-0.028894,0.352767,0.275536,0.035439,-0.036980,2.976975,-1.573400,1.641809
4.960000,0.464086,-0.028477,0.352332,0.323283,0.007359,-0.007679,1.797770,-1.234644,1.288324
4.980000,0.470833,-0.028554,0.352413,0.347446,-0.013947,0.014553,0.618566,-0.895888,0.934839
5.000000,0.477827,-0.028990,0.352867,0.348026,-0.028477,0.029715,-0.560638,-0.557131,0.581354
5.020000,0.484596,-0.029648,0.353554,0.325021,-0.036232,0.037807,-1.739842,-0.218375,0.227869
5.040000,0.490670,-0.030394,0.354332,0.278432,-0.037212,0.038830,-2.919046,0.120382,-0.125616
5.060000,0.495577,-0.031091,0.355060,0.208259,-0.031417,0.032783,-4.098250,0.459138,-0.479101
5.080000,0.498843,-0.031605,0.355597,0.114502,-0.018846,0.019666,-5.277455,0.797895,-0.832586
5.080000,0.500000,-0.031800,0.355800,0.000000,0.000000,0.000000,0.000000,0.971488,-0.163320
5.100000,0.500000,-0.031616,0.355770,0.000000,0.017932,-0.002842,0.000000,0.821742,-0.120911
5.120000,0.500000,-0.031103,0.355692,0.000000,0.032870,-0.004836,0.000000,0.671997,-0.078502
5.140000,0.500000,-0.030321,0.355582,0.000000,0.044812,-0.005982,0.000000,0.522251,-0.036092
5.160000,0.500000,-0.029330,0.355458,0.000000,0.053760,-0.006280,0.000000,0.372506,0.006317
5.180000,0.500000,-0.028190,0.355337,0.000000,0.059712,-0.005730,0.000000,0.222761,0.048727
5.200000,0.500000,-0.026962,0.355235,0.000000,0.062670,-0.004331,0.000000,0.073015,0.091136
