x,y,z,type,cmd,path_id,count
0.7243999999999999,0.0828,0.0,1,DRAW_SEGMENT,5,
0.7232,0.0828,0.0,1,DRAW_SEGMENT,5,
0.722,0.0828,0.0,1,DRAW_SEGMENT,5,
0.7208,0.0828,0.0,1,DRAW_SEGMENT,5,
0.7196,0.0828,0.0,1,DRAW_SEGMENT,5,
0.7183999999999999,0.0828,0.0,1,DRAW_SEGMENT,5,
0.7172,0.0828,0.0,1,DRAW_SEGMENT,5,
0.716,0.0828,0.0,1,DRAW_SEGMENT,5,
0.7148,0.0828,0.0,1,DRAW_SEGMENT,5,
0.7136,0.0828,0.0,1,DRAW_SEGMENT,5,
0.7123999999999999,0.0828,0.0,1,DRAW_SEGMENT,5,
0.7111999999999999,0.08159999999999999,0.0,1,DRAW_SEGMENT,5,
0.71,0.08159999999999999,0.0,1,DRAW_SEGMENT,5,
0.7088,0.08159999999999999,0.0,1,DRAW_SEGMENT,5,
0.7076,0.08159999999999999,0.0,1,DRAW_SEGMENT,5,
0.7063999999999999,0.08159999999999999,0.0,1,DRAW_SEGMENT,5,
0.7052,0.0804,0.0,1,DRAW_SEGMENT,5,
0.704,0.0804,0.0,1,DRAW_SEGMENT,5,
0.7028,0.07919999999999999,0.0,1,DRAW_SEGMENT,5,
0.7016,0.07919999999999999,0.0,1,DRAW_SEGMENT,5,
0.7004,0.078,0.0,1,DRAW_SEGMENT,5,
0.6992,0.0768,0.0,1,DRAW_SEGMENT,5,
0.698,0.07559999999999999,0.0,1,DRAW_SEGMENT,5,
0.6968,0.0744,0.0,1,DRAW_SEGMENT,5,
0.6968,0.07319999999999999,0.0,1,DRAW_SEGMENT,5,
0.6956,0.072,0.0,1,DRAW_SEGMENT,5,
0.6956,0.07079999999999999,0.0,1,DRAW_SEGMENT,5,
0.6956,0.0696,0.0,1,DRAW_SEGMENT,5,
0.6956,0.06839999999999999,0.0,1,DRAW_SEGMENT,5,
0.6956,0.06839999999999999,0.0,0,PEN_DOWN,5,
0.6956,0.06839999999999999,0.05,0,LIFT_PEN,5,
0.6908,0.06359999999999999,0.05,0,TRAVEL_APPROACH,6,
0.6908,0.06359999999999999,0.0,0,PEN_DOWN,6,
0.6908,0.06359999999999999,0.0,1,DRAW_SEGMENT,6,
0.6896,0.0648,0.0,1,DRAW_SEGMENT,6,
0.6896,0.06599999999999999,0.0,1,DRAW_SEGMENT,6,
0.6896,0.0672,0.0,1,DRAW_SEGMENT,6,
0.6896,0.06839999999999999,0.0,1,DRAW_SEGMENT,6,
